Restaurant_Num,Sales,Customer_Count,Week,Day,Day_Friday,Day_Monday,Day_Saturday,Day_Sunday,Day_Thursday,Day_Tuesday,Day_Wednesday
283,1565.61,200,4,Friday,1,0,0,0,0,0,0
283,1299.84,162,4,Monday,0,1,0,0,0,0,0
283,915.63,122,4,Saturday,0,0,1,0,0,0,0
283,944.56,115,4,Sunday,0,0,0,1,0,0,0
283,1542.97,187,4,Thursday,0,0,0,0,1,0,0
283,978.56,135,4,Tuesday,0,0,0,0,0,1,0
283,1125.37,153,4,Wednesday,0,0,0,0,0,0,1
283,1865.68,219,5,Friday,1,0,0,0,0,0,0
283,1414.8,196,5,Monday,0,1,0,0,0,0,0
283,1281.11,173,5,Saturday,0,0,1,0,0,0,0
283,1151.63,138,5,Sunday,0,0,0,1,0,0,0
283,2321.72,267,5,Thursday,0,0,0,0,1,0,0
283,1394.11,180,5,Tuesday,0,0,0,0,0,1,0
283,1679.97,207,5,Wednesday,0,0,0,0,0,0,1
283,1601.59,206,6,Friday,1,0,0,0,0,0,0
283,1288.49,174,6,Monday,0,1,0,0,0,0,0
283,1303.3,154,6,Saturday,0,0,1,0,0,0,0
283,990.02,117,6,Sunday,0,0,0,1,0,0,0
283,1251.93,166,6,Thursday,0,0,0,0,1,0,0
283,1480.23,193,6,Tuesday,0,0,0,0,0,1,0
283,1461.11,194,6,Wednesday,0,0,0,0,0,0,1
283,1634,194,7,Friday,1,0,0,0,0,0,0
283,1165.98,159,7,Monday,0,1,0,0,0,0,0
283,1161.69,140,7,Saturday,0,0,1,0,0,0,0
283,1271.52,149,7,Sunday,0,0,0,1,0,0,0
283,1707.18,210,7,Thursday,0,0,0,0,1,0,0
283,1272.23,179,7,Tuesday,0,0,0,0,0,1,0
283,1253.65,169,7,Wednesday,0,0,0,0,0,0,1
283,1604.05,194,8,Friday,1,0,0,0,0,0,0
283,1072.73,152,8,Monday,0,1,0,0,0,0,0
283,948.86,113,8,Saturday,0,0,1,0,0,0,0
283,1276.16,138,8,Sunday,0,0,0,1,0,0,0
283,1545.74,184,8,Thursday,0,0,0,0,1,0,0
283,1412.86,194,8,Tuesday,0,0,0,0,0,1,0
283,1374.82,170,8,Wednesday,0,0,0,0,0,0,1
283,1919.02,232,9,Friday,1,0,0,0,0,0,0
283,1479.27,184,9,Monday,0,1,0,0,0,0,0
283,1698.02,187,9,Saturday,0,0,1,0,0,0,0
283,1327.86,159,9,Sunday,0,0,0,1,0,0,0
283,1931.85,225,9,Thursday,0,0,0,0,1,0,0
283,1445.04,204,9,Tuesday,0,0,0,0,0,1,0
283,1594.11,194,9,Wednesday,0,0,0,0,0,0,1
283,1497.3,190,10,Friday,1,0,0,0,0,0,0
283,1543.28,198,10,Monday,0,1,0,0,0,0,0
283,1247.07,150,10,Saturday,0,0,1,0,0,0,0
283,1336.05,144,10,Sunday,0,0,0,1,0,0,0
283,1398.83,184,10,Thursday,0,0,0,0,1,0,0
283,1723.59,210,10,Tuesday,0,0,0,0,0,1,0
283,1450.56,206,10,Wednesday,0,0,0,0,0,0,1
283,1082.7,152,11,Friday,1,0,0,0,0,0,0
283,1212,167,11,Monday,0,1,0,0,0,0,0
283,1291.91,146,11,Saturday,0,0,1,0,0,0,0
283,843.57,103,11,Sunday,0,0,0,1,0,0,0
283,1689.94,211,11,Thursday,0,0,0,0,1,0,0
283,1236.01,160,11,Tuesday,0,0,0,0,0,1,0
283,1307.04,188,11,Wednesday,0,0,0,0,0,0,1
283,1440.94,196,12,Friday,1,0,0,0,0,0,0
283,1082.68,149,12,Monday,0,1,0,0,0,0,0
283,1204.52,152,12,Saturday,0,0,1,0,0,0,0
283,1192.81,154,12,Sunday,0,0,0,1,0,0,0
283,1283.18,183,12,Thursday,0,0,0,0,1,0,0
283,997.81,144,12,Tuesday,0,0,0,0,0,1,0
283,1097.99,152,12,Wednesday,0,0,0,0,0,0,1
283,1756.14,236,13,Friday,1,0,0,0,0,0,0
283,1275.45,174,13,Monday,0,1,0,0,0,0,0
283,1332.81,179,13,Saturday,0,0,1,0,0,0,0
283,1097.59,129,13,Sunday,0,0,0,1,0,0,0
283,1189.72,175,13,Thursday,0,0,0,0,1,0,0
283,1401.14,184,13,Tuesday,0,0,0,0,0,1,0
283,1206.16,180,13,Wednesday,0,0,0,0,0,0,1
283,1114.27,152,14,Friday,1,0,0,0,0,0,0
283,1279.57,129,14,Monday,0,1,0,0,0,0,0
283,1306.77,157,14,Saturday,0,0,1,0,0,0,0
283,1093.06,120,14,Sunday,0,0,0,1,0,0,0
283,1498.4,201,14,Thursday,0,0,0,0,1,0,0
283,1315,170,14,Tuesday,0,0,0,0,0,1,0
283,1439.55,183,14,Wednesday,0,0,0,0,0,0,1
283,1577.37,187,15,Friday,1,0,0,0,0,0,0
283,1074.44,158,15,Monday,0,1,0,0,0,0,0
283,1109.41,136,15,Saturday,0,0,1,0,0,0,0
283,959.56,104,15,Sunday,0,0,0,1,0,0,0
283,1268.18,172,15,Thursday,0,0,0,0,1,0,0
283,1374.65,183,15,Tuesday,0,0,0,0,0,1,0
283,1434.93,183,15,Wednesday,0,0,0,0,0,0,1
283,1749.74,202,16,Friday,1,0,0,0,0,0,0
283,1097.56,148,16,Monday,0,1,0,0,0,0,0
283,970.58,111,16,Saturday,0,0,1,0,0,0,0
283,1060.64,136,16,Sunday,0,0,0,1,0,0,0
283,1536.53,197,16,Thursday,0,0,0,0,1,0,0
283,1369.15,182,16,Tuesday,0,0,0,0,0,1,0
283,1541.43,204,16,Wednesday,0,0,0,0,0,0,1
283,1326.03,167,17,Friday,1,0,0,0,0,0,0
283,1436.54,210,17,Monday,0,1,0,0,0,0,0
283,1256.65,143,17,Saturday,0,0,1,0,0,0,0
283,1142.53,149,17,Sunday,0,0,0,1,0,0,0
283,1445.58,178,17,Thursday,0,0,0,0,1,0,0
283,580.87,73,17,Tuesday,0,0,0,0,0,1,0
283,1540.41,186,17,Wednesday,0,0,0,0,0,0,1
283,1600.12,202,18,Friday,1,0,0,0,0,0,0
283,1159.28,158,18,Monday,0,1,0,0,0,0,0
283,1107.18,144,18,Saturday,0,0,1,0,0,0,0
283,930.04,114,18,Sunday,0,0,0,1,0,0,0
283,1357.06,175,18,Thursday,0,0,0,0,1,0,0
283,1424.99,182,18,Tuesday,0,0,0,0,0,1,0
283,1737.04,230,18,Wednesday,0,0,0,0,0,0,1
283,1422.28,176,19,Friday,1,0,0,0,0,0,0
283,960.62,142,19,Monday,0,1,0,0,0,0,0
283,1178.12,142,19,Saturday,0,0,1,0,0,0,0
283,1070.2,118,19,Sunday,0,0,0,1,0,0,0
283,1297.64,167,19,Thursday,0,0,0,0,1,0,0
